ogs	prs	mean_qb
1	0	0.2244039270687237
1	1	0.3815580286168522
1	2	0.4486873508353222
1	3	0.5393258426966292
1	4	0.4941860465116279
1	5	0.6419354838709678
1	RFEL	0.6952380952380952
2	0	0.28408501814411613
2	1	0.4399092970521542
2	2	0.5120481927710844
2	3	0.6072874493927125
2	4	0.6289308176100629
2	5	0.6709677419354839
2	RFEL	0.6555555555555556
3	0	0.2607937200174444
3	1	0.4444444444444444
3	2	0.5578865578865578
3	3	0.6500579374275782
3	4	0.6661538461538462
3	5	0.7773037542662116
3	RFEL	0.7667638483965015
4	0	0.2706681766704417
4	1	0.49537037037037035
4	2	0.5985915492957746
4	3	0.7083333333333334
4	4	0.6794871794871795
4	5	0.7524752475247525
4	RFEL	0.7241379310344828
5	0	0.32875098193244306
5	1	0.5871559633027523
5	2	0.6343434343434343
5	3	0.7278481012658228
5	4	0.6728110599078341
5	5	0.8043478260869565
5	RFEL	0.7393939393939394
6	0	0.40246723207401697
6	1	0.5365168539325843
6	2	0.647887323943662
6	3	0.7040358744394619
6	4	0.6707818930041153
6	5	0.7935656836461126
6	RFEL	0.7272727272727273
7	0	0.41074523396880414
7	1	0.5967078189300411
7	2	0.6782608695652174
7	3	0.766497461928934
7	4	0.7423312883435583
7	5	0.8090277777777778
7	RFEL	0.6941176470588235
8	0	0.27893738140417457
8	1	0.5463917525773195
8	2	0.5855855855855856
8	3	0.5510204081632653
8	4	0.6666666666666666
8	5	0.797979797979798
8	RFEL	0.8260869565217391
9	0	0.4046511627906977
9	1	0.7272727272727273
9	2	0.7105263157894737
9	3	0.7391304347826086
9	4	0.68
9	5	0.7073170731707317
9	RFEL	0.75
10	0	0.3165680473372781
10	1	0.546875
10	2	0.6041666666666666
10	3	0.7272727272727273
10	4	0.7804878048780488
10	5	0.6818181818181818
10	RFEL	0.7894736842105263
11	0	0.3511450381679389
11	1	0.45161290322580644
11	2	0.5769230769230769
11	3	0.5714285714285714
11	4	0.5
11	5	0.9166666666666666
11	RFEL	1
12	0	0.29545454545454547
12	1	0.3333333333333333
12	2	0.6666666666666666
12	3	0.5
12	4	0.6
12	5	0.6
12	RFEL	0.5
13	0	0.5714285714285714
13	1	0
13	4	1
14	0	0.5
14	4	1
14	5	1
