ogs	prs	incar
1	0	0.09291725105189341
1	1	0.17647058823529413
1	2	0.23389021479713604
1	3	0.30711610486891383
1	4	0.29069767441860467
1	5	0.3935483870967742
1	RFEL	0.5238095238095238
2	0	0.1394504924831519
2	1	0.3333333333333333
2	2	0.37650602409638556
2	3	0.4048582995951417
2	4	0.44025157232704404
2	5	0.6419354838709678
2	RFEL	0.7333333333333333
3	0	0.21936327954644572
3	1	0.35327635327635326
3	2	0.4211344211344211
3	3	0.47508690614136734
3	4	0.6169230769230769
3	5	0.726962457337884
3	RFEL	0.6997084548104956
4	0	0.2729331823329558
4	1	0.42592592592592593
4	2	0.4859154929577465
4	3	0.6111111111111112
4	4	0.6794871794871795
4	5	0.8118811881188119
4	RFEL	0.8275862068965517
5	0	0.3739198743126473
5	1	0.6458715596330276
5	2	0.6909090909090909
5	3	0.8037974683544303
5	4	0.7788018433179723
5	5	0.8478260869565217
5	RFEL	0.9030303030303031
6	0	0.6114109483423285
6	1	0.7162921348314607
6	2	0.7746478873239436
6	3	0.8161434977578476
6	4	0.8189300411522634
6	5	0.8552278820375335
6	RFEL	0.8863636363636364
7	0	0.7131715771230502
7	1	0.823045267489712
7	2	0.8318840579710145
7	3	0.8324873096446701
7	4	0.8466257668711656
7	5	0.9166666666666666
7	RFEL	0.8705882352941177
8	0	0.7438330170777988
8	1	0.9072164948453608
8	2	0.7927927927927928
8	3	0.9183673469387755
8	4	0.8833333333333333
8	5	0.8888888888888888
8	RFEL	0.8695652173913043
9	0	0.6883720930232559
9	1	0.9272727272727272
9	2	0.9736842105263158
9	3	0.8695652173913043
9	4	0.92
9	5	0.9024390243902439
9	RFEL	0.875
10	0	0.9319526627218935
10	1	0.796875
10	2	0.9583333333333334
10	3	0.8484848484848485
10	4	0.9024390243902439
10	5	1
10	RFEL	0.7368421052631579
11	0	0.9083969465648855
11	1	0.967741935483871
11	2	0.8846153846153846
11	3	0.7142857142857143
11	4	0.9166666666666666
11	5	0.9166666666666666
11	RFEL	1
12	0	0.9318181818181818
12	1	0.6666666666666666
12	2	1
12	3	1
12	4	1
12	5	0.8
12	RFEL	1
13	0	0.8571428571428571
13	1	1
13	4	1
14	0	1
14	4	0
14	5	1
